Language,Layer,Feature Index,Opposing Feature Index,Cosine Similarity,Feature Token Count,Opposing Feature Token Count,Intersection Count
Bulgarian,layers.0.mlp,123218,5672,-0.154,37568,512,0
English,layers.0.mlp,93066,14931,-0.332,144457,270022,681
English,layers.0.mlp,128132,107030,-0.317,105627,36953,3369
Hindi,layers.0.mlp,17276,104843,-0.293,19238,10240,6859
Hindi,layers.0.mlp,26755,101208,-0.154,25181,55536,19426
Hindi,layers.0.mlp,33080,71318,-0.124,36296,37,0
Hindi,layers.0.mlp,53040,34108,-0.377,30109,63,1
Hindi,layers.0.mlp,55180,8135,-0.107,139377,375,9
Hindi,layers.0.mlp,56263,36992,-0.335,23141,14667,12249
Hindi,layers.0.mlp,76485,29352,-0.145,26388,20081,13450
Hindi,layers.0.mlp,101208,33525,-0.206,55536,8778,7655
Hindi,layers.0.mlp,122265,12023,-0.173,87308,83,5
Hindi,layers.0.mlp,128987,76485,-0.136,26593,26388,11189
Japanese,layers.0.mlp,100720,114925,-0.211,18418,28336,10902
Japanese,layers.0.mlp,112017,5091,-0.116,45308,48,0
Korean,layers.0.mlp,87423,750,-0.111,100096,152,0
Portuguese,layers.0.mlp,128645,111505,-0.207,14113,783,262
Thai,layers.0.mlp,38602,46721,-0.152,27104,11,0
Thai,layers.0.mlp,48180,32342,-0.102,165014,80,0
Thai,layers.0.mlp,53064,38760,-0.108,26025,1,0
Thai,layers.0.mlp,60676,100273,-0.121,65267,646,1
Turkish,layers.0.mlp,10506,75852,-0.245,50518,113757,1359
Turkish,layers.0.mlp,64723,76447,-0.158,45320,886,16
Vietnamese,layers.0.mlp,11601,75852,-0.266,193838,113757,13151
Vietnamese,layers.0.mlp,102922,75852,-0.184,98852,113757,5961
Bulgarian,layers.1.mlp,32578,43551,-0.162,28834,4801,7
Hindi,layers.1.mlp,9891,101347,-0.13,27807,62,0
Hindi,layers.1.mlp,49724,66915,-0.095,37451,1403,0
Hindi,layers.1.mlp,56943,116163,-0.121,22523,59,0
Hindi,layers.1.mlp,65640,54096,-0.108,82911,593,1
Hindi,layers.1.mlp,106597,19438,-0.148,36061,4310,47
Italian,layers.1.mlp,28636,19468,-0.32,28513,5760,16
Italian,layers.1.mlp,47594,16361,-0.201,21103,15236,87
Thai,layers.1.mlp,9059,7663,-0.099,49461,79,0
Thai,layers.1.mlp,73197,57104,-0.129,133546,0,0
Turkish,layers.1.mlp,84692,6902,-0.138,44110,3034,28
Chinese,layers.2.mlp,18693,22997,-0.106,143537,19,0
English,layers.2.mlp,14207,104812,-0.646,127091,34552,32
German,layers.2.mlp,56064,53337,-0.361,20809,2408,5
Hindi,layers.2.mlp,49394,7767,-0.134,48437,4095,31
Hindi,layers.2.mlp,53504,122696,-0.19,20629,8106,0
Hindi,layers.2.mlp,70081,100766,-0.129,34293,55,0
Italian,layers.2.mlp,33390,62776,-0.143,11833,2729,31
Portuguese,layers.2.mlp,51039,63901,-0.165,18419,2598,4
Spanish,layers.2.mlp,17631,81082,-0.25,20693,3751,28
Thai,layers.2.mlp,45311,121190,-0.463,41525,617,0
Thai,layers.2.mlp,100192,44327,-0.621,45230,9729,14
Thai,layers.2.mlp,105874,103926,-0.117,97949,360,1
Thai,layers.2.mlp,110194,47453,-0.143,47046,1760,1
Turkish,layers.2.mlp,34696,62776,-0.122,29474,2729,13
Bulgarian,layers.3.mlp,98476,114249,-0.198,48375,670,3
Hindi,layers.3.mlp,12962,64383,-0.127,95025,54,1
Hindi,layers.3.mlp,82959,28322,-0.107,139659,28,4
Hindi,layers.3.mlp,85531,45692,-0.176,24535,292,4
Hindi,layers.3.mlp,106101,20334,-0.127,23112,1421,9
Hindi,layers.3.mlp,128429,17486,-0.104,44023,192,0
Italian,layers.3.mlp,120200,38676,-0.37,13272,8238,82
Portuguese,layers.3.mlp,129688,20517,-0.227,18753,6416,28
Spanish,layers.3.mlp,4518,38676,-0.766,28222,8238,0
Thai,layers.3.mlp,71756,83916,-0.113,76203,199,0
Thai,layers.3.mlp,130933,130442,-0.128,41767,205,0
Turkish,layers.3.mlp,4996,103140,-0.197,31071,2219,57
Vietnamese,layers.3.mlp,14622,3641,-0.121,22647,2757,37
Bulgarian,layers.4.mlp,3143,33488,-0.103,51941,452,8
Bulgarian,layers.4.mlp,82561,122442,-0.205,17164,1424,3
Bulgarian,layers.4.mlp,92607,67120,-0.139,24731,2772,2
English,layers.4.mlp,34138,54664,-0.264,187641,40,3
Hindi,layers.4.mlp,37982,199,-0.192,30603,394,0
Hindi,layers.4.mlp,76042,56680,-0.276,35176,946,0
Hindi,layers.4.mlp,98694,57593,-0.136,51352,78,0
Italian,layers.4.mlp,114161,78184,-0.878,11387,378,0
Korean,layers.4.mlp,99278,103600,-0.126,11267,118,0
Portuguese,layers.4.mlp,51358,64149,-0.277,8165,613,2
Portuguese,layers.4.mlp,63167,121371,-0.19,8832,2209,21
Russian,layers.4.mlp,48343,64149,-0.211,18256,613,2
Thai,layers.4.mlp,33160,49967,-0.135,46564,6804,16
Vietnamese,layers.4.mlp,110587,64149,-0.134,12079,613,0
Bulgarian,layers.5.mlp,949,123873,-0.138,54187,6,0
Bulgarian,layers.5.mlp,12333,70965,-0.132,22184,77,5
